name;nom
SOF UNIT UTILITY (HEAVY);SOF UNIT UTILITY (HEAVY)
SOF UNIT V/STOL;UNITE SOF V/STOL
SOF UNIT ROTARY WING;UNITE SOUPLE A VOILURE TOURNANTE
SOF UNIT COMBAT SEARCH AND RESCUE;SOF UNIT COMBAT SEARCH AND RESCUE
SOF UNIT ATTACK;SOF UNIT ATTACK
SOF UNIT UTILITY;SOF UNIT UTILITY
SOF UNIT UTILITY (LIGHT);SOF UNIT UTILITY (LIGHT)
SOF UNIT UTILITY (MEDIUM);UNITE SOUPLE UTILITAIRE (MOYENNE)
SOF UNIT UTILITY (HEAVY);SOF UNIT UTILITY (HEAVY)
SOF UNIT SOF UNIT NAVAL;UNITE SOF UNITE SOF NAVALE
SOF UNIT SEAL;UNITE SOF SEAL
SOF UNIT UNDERWATER DEMOLITION TEAM;UNITE SOF EQUIPE DE DEMOLITION SOUS-MARINE
SOF UNIT SPECIAL BOAT;UNITE SOF BATEAU SPECIAL
SOF UNIT SPECIAL SSNR;UNITE SPECIALE SSNR
SOF UNIT GROUND;SOF UNIT GROUND
SOF UNIT SPECIAL FORCES;SOF UNIT SPECIAL FORCES
SOF UNIT RANGER;SOF UNIT RANGER
SOF UNIT PSYCHOLOGICAL OPERATIONS (PSYOP);SOF UNIT PSYCHOLOGICAL OPERATIONS (PSYOP)
SOF UNIT FIXED WING AVIATION;SOF UNIT FIXED WING AVIATION
SOF UNIT CIVIL AFFAIRS;UNITE SOF AFFAIRES CIVILES
SOF UNIT SUPPORT;UNITE DE SOUTIEN
DESTROY;DESTRUIRE
INTERDICT;INTERDICTION
NEUTRALIZE;NEUTRALISER
ELECTRO-MAGNETIC;ELECTRO-MAGNETIQUE
ACOUSTIC;ACOUSTIQUE
ELECTRO-OPTICAL;ELECTRO-OPTIQUE
POINT OF INTEREST;POINT D'INTERET
AIR CONTROL POINT (ACP);POINT DE CONTROLE AERIEN (ACP)
COMMUNICATIONS CHECKPOINT (CCP);POINT DE CONTROLE DES COMMUNICATIONS (CCP)
POP UP POINT (PUP);POINT DE RASSEMBLEMENT (PUP)
DOWNED AIRCREW PICK UP POINT;POINT DE RECUPERATION DE L'EQUIPAGE ABATTU
DUMMY MINEFIELD;CHAMP DE MINES FACTICE
TARGET REFERENCE POINT (TRP);POINT DE REFERENCE DE LA CIBLE (TRP)
OBSERVATION POST/OUTPOST;POSTE D'OBSERVATION/POSTE DE SORTIE
COMBAT OUTPOST;COMBAT OUTPOST
OBSERVATION POST OCCUPIED BY DISMOUNTED SCOUTS OR RECONNAISSANCE;POSTE D'OBSERVATION OCCUPE PAR DES ECLAIREURS OU DES RECONNAISSANCES A PIED
FORWARD OBSERVER POSITION;POSTE D'OBSERVATION AVANCE
SENSOR OUTPOST/LISTENING POST (OP/LP);AVANT-POSTE DE DETECTION/POSTE D'ECOUTE (OP/LP)
CBRN OBSERVATION POST (DISMOUNTED);POSTE D'OBSERVATION CBRN (DEMONTE)
FORWARD AIR CONTROLLER (FAC);CONTROLEUR AERIEN AVANCE (FAC)
TACTICAL AIR CONTROL PARTY (TACP);EQUIPE DE CONTROLE AERIEN TACTIQUE (TACP)
POINT OF DEPARTURE;POINT DE DEPART
ANTITANK OBSTACLES, TETRAHEDRONS, DRAGON'S TEETH AND OTHER SIMILAR OBSTACLES;OBSTACLES ANTICHARS, TETRAEDRES, DENTS DE DRAGON ET AUTRES OBSTACLES SIMILAIRES
BOOBY TRAP;BOOBY TRAP
ANTIPERSONNEL (AP) MINE;MINE ANTIPERSONNEL (AP)
ANTITANK (AT) MINE;MINE ANTICHAR (AT)
ANTITANK MINE WITH ANTIHANDLING DEVISE;MINE ANTICHAR AVEC DISPOSITIF ANTI-MANIPULATION
ANTITANK MINE (ARROW SHOWS EFFECTS) CLAYMORE MINE;MINE ANTICHAR (LA FLECHE MONTRE LES EFFETS) MINE CLAYMORE.
UNSPECIFIED MINE;MINE NON SPECIFIEE
PLANNED MINEFIELD;CHAMP DE MINES PLANIFIE
COMPLETED MINEFIELD;CHAMP DE MINES ACHEVE
ANTITANK (AT) MINEFIELD;CHAMP DE MINES ANTICHAR (AT)
SCATTERABLE MINES;MINES DISPERSABLES
ANTIPERSONNEL (AP) MINEFIELD REINFORCED WITH SCATTERABLE WITH SELF-DESTRUCT DATE-TIME-GROUP;CHAMP DE MINES ANTIPERSONNEL (AP) RENFORCE PAR DES MINES DISPERSABLES AVEC GROUPE DE DATES ET D'HEURES D'AUTODESTRUCTION
SCATTERABLE MINEFIELD WITH SELF-DESTRUCT DATE-TIME-GROUP;CHAMP DE MINES DISPERSABLES AVEC DATE ET HEURE D'AUTODESTRUCTION
ENGINEER REGULATING POINT;POINT DE REGULATION DU GENIE
EARTHWORK, SMALL TRENCH OR FORTIFICATION;TERRASSEMENT, PETITE TRANCHEE OU FORTIFICATION
FORT;FORT
SURFACE SHELTER;ABRI DE SURFACE
UNDERGROUND SHELTER;ABRI SOUTERRAIN
NUCLEAR DETONATIONS FRIENDLY GROUND ZERO;DETONATIONS NUCLEAIRES POINT ZERO AMI
ENEMY KNOWN GROUND ZERO;POINT ZERO CONNU DE L'ENNEMI
ENEMY TEMPLATED;ENNEMI PLANIFIE
FRIENDLY PLANNED OR ON-ORDER;AMI PLANIFIE OU EN ORDRE
FALLOUT PRODUCING;PRODUCTION DE RETOMBEES
DECON SITE/POINT (UNSPECIFIED);SITE/POINT DE DECONTAMINATION (NON SPECIFIE)
ALTERNATE DECON SITE/POINT (UNSPECIFIED);SITE/POINT DE DECONISATION ALTERNATIF (NON SPECIFIE)
DECON SITE/POINT (TROOPS);SITE/POINT DE DECONTAMINATION (TROUPES)
DECON SITE/POINT (EQUIPMENT);SITE/POINT DE DECONTAMINATION (EQUIPEMENT)
DECON SITE/POINT (EQUIPMENT AND TROOPS);SITE/POINT DE DECONTAMINATION (EQUIPEMENT ET TROUPES)
DECON SITE/POINT (OPERATIONAL DECONTAMINATION);SITE/POINT DE DECONISATION (DECONTAMINATION OPERATIONNELLE)
DECON SITE/POINT (THOROUGH DECONTAMINATION);SITE/POINT DE DECON (DECONTAMINATION APPROFONDIE)
DECON POINT (MAIN) EQUIPMENT;POINT DE DECONISATION (PRINCIPAL) EQUIPEMENT
DECON POINT (FORWARD) TROOPS;POINT DE DECONISATION (AVANT) TROUPES
POINT /SINGLE TARGET;POINT /CIBLE UNIQUE
FIRE SUPPORT STATION;POSTE D'APPUI-FEU
NUCLEAR TARGET;CIBLE NUCLEAIRE
AMBULANCE EXCHANGE POINT;POINT D'ECHANGE D'AMBULANCES
CANNIBALIZATION POINT;POINT DE CANNIBALISATION
CASUALTY COLLECTION POINT;POINT DE COLLECTE DES VICTIMES
CIVILIAN COLLECTION POINT;POINT DE COLLECTE DES CIVILS
DETAINEE COLLECTION POINT;POINT DE COLLECTE DES DETENUS
ENEMY PRISONER OF WAR (EPW) COLLECTION POINT;POINT DE COLLECTE DES PRISONNIERS DE GUERRE ENNEMIS (EPW)
LOGISTICS RELEASE POINT (LRP);POINT DE LIBERATION LOGISTIQUE (LRP)
MAINTENANCE COLLECTION POINT;POINT DE COLLECTE DE LA MAINTENANCE
REARM, REFUEL AND RE-SUPPLY POINT;POINT DE REARMEMENT, DE RAVITAILLEMENT ET DE REAPPROVISIONNEMENT
REFUEL ON THE MOVE (ROM) POINT;POINT DE RAVITAILLEMENT EN MOUVEMENT (ROM)
TRAFFIC CONTROL POST (TCP);POSTE DE CONTROLE DU TRAFIC (TCP)
TRAILER TRANSFER POINT;POINT DE TRANSFERT DE REMORQUE
UNIT MAINTENANCE COLLECTION POINT;POINT DE COLLECTE DE LA MAINTENANCE DE L'UNITE
GENERAL;GENERALITES
CLASS I;CLASSE I
CLASS II;CLASSE II
CLASS III;CLASSE III
CLASS IV;CLASSE IV
CLASS V;CLASSE V
CLASS VI;CLASSE VI
CLASS VII;CLASSE VII
CLASS VIII;CLASSE VIII
CLASS IX;CLASSE IX
CLASS X;CLASSE X
AMMUNITION SUPPLY POINT (ASP);POINT D'APPROVISIONNEMENT EN MUNITIONS (ASP)
AMMUNITION TRANSFER POINT (ATP);POINT DE TRANSFERT DE MUNITIONS (ATP)
SPECIAL POINT;POINT SPECIAL
NAV REFERENCE;REFERENCE NAV
DLRP;DLRP
DATUM;DATUM
BRIEF CONTACT;CONTACT BREF
LOST CONTACT;CONTACT PERDU
SINKER;SINKER
AIM POINT;POINT DE VISE
DROP POINT;POINT DE CHUTE
ENTRY POINT;POINT D'ENTREE
GROUND ZERO;ZERO AU SOL
MSL DETECT POINT;MSL DETECT POINT
IMPACT POINT;POINT D'IMPACT
PREDICTED IMPACT POINT;POINT D'IMPACT PREVU
SONOBUOY;SONOBUOY
PATTERN CENTRE;CENTRE DE LA TRAJECTOIRE
DIFAR;DIFAR
LOFAR;LOFAR
CASS;CASS
DICASS;DICASS
BT;BT
ANM;ANM
VLAD;VLAD
ATAC;ATAC
RO;RO
KINGPIN;KINGPIN
FORMA TION;FORMA TION
HARBOUR;HARBOUR
POINT Q;POINT Q
POINT A;POINT A
POINT Y;POINT Y
POINT X;POINT X
ROUTE;ROUTE
RENDEZVOUS;RENDEZ-VOUS
DIVERSIONS;DIVERSIONS
WAYPOINT;WAYPOINT
PIM;PIM
POINT R;POINT R
COMBATANT STATION;STATION DE COMBATTANTS
PICKET STATION;PICKET STATION
ASW SHIP STATION;STATION DE NAVIRE ASW
REPLENISHMENT AT SEA (RAS) STATION;STATION DE RAVITAILLEMENT EN MER (RAS)
RESCUE STATION;STATION DE SAUVETAGE
SUBMARINE STATION;STATION SOUS-MARINE
ASW SUBMARINE STATION;STATION SOUS-MARINE ASW
SEARCH;RECHERCHE
SEARCH AREA;ZONE DE RECHERCHE
DIP POSITION;POSITION DIP
SEARCH CENTRE;CENTRE DE RECHERCHE
COMBAT AIR PATROL (CAP);PATROUILLE AERIENNE DE COMBAT (CAP)
AIRBORNE EARLY WARNING (AEW);ALERTE PRECOCE AEROPORTEE (AEW)
TACAN;TACAN
TANKING;TANKING
ANTISUBMARINE WARFARE FIXED WING;LUTTE ANTI-SOUS-MARINE A VOILURE FIXE
ANTISUBMARINE WARFARE ROTARY WING;LUTTE ANTI-SOUS-MARINE A VOILURE TOURNANTE
TOMCAT;TOMCAT
RESCUE;SAUVE-QUI-PENSE
REPLENISH;REPLENISH
MARSHALL;MARSHALL
STRIKE IP;STRIKE IP
CORRIDOR TAB;CORRIDOR TAB
GENERAL OR UNSPECIFIED COMMAND AND CONTROL POINT;POINT DE COMMANDEMENT ET DE CONTROLE GENERAL OU NON SPECIFIE
CHECKPOINT;POINT DE CONTROLE
CONTACT POINT;POINT DE CONTACT
COORDINATION POINT;POINT DE COORDINATION
DECISION POINT;POINT DE DECISION
LINKUP POINT;POINT DE LIAISON
PASSAGE POINT;POINT DE PASSAGE
RALLY POINT;POINT DE RALLYE
RELEASE POINT;POINT DE LIBERATION
START POINT;POINT DE DEPART
WAY POINT;POINT DE TRAVERSEE
