2525Charlie1stTen;2525Charlie;2525DeltaSymbolSet;2525DeltaEntity;2525DeltaMod1;2525DeltaMod2;2525DeltaName;2525DeltaMod1Name;2525DeltaMod2Name;DeltaToCharlie;Remarks
G*GPGPAW--;GPGPGPAW------X;25;180800;00;00;Airspace Control Points : AEW Station;;;GPGPGPAW------X;pass
G*GPGPAA--;GPGPGPAA------X;25;180900;00;00;Airspace Control Points : ASW (Helo and F/W) Station;;;GPGPGPAA------X;pass
G*GPGPAA--;GPGPGPAA------X;25;180900;00;00;Airspace Control Points : ASW (Helo and F/W) Station;;;GPGPGPAA------X;pass
G*GPGPAS--;GPGPGPAS------X;25;181000;00;00;Airspace Control Points : Strike Initial Point;;;GPGPGPAS------X;pass
G*GPGPAS--;GPGPGPAS------X;25;181000;00;00;Airspace Control Points : Strike Initial Point;;;GPGPGPAS------X;pass
G*GPGPAL--;GPGPGPAL------X;25;181100;00;00;Airspace Control Points : Replenishment Station;;;GPGPGPAL------X;pass
G*GPGPAL--;GPGPGPAL------X;25;181100;00;00;Airspace Control Points : Replenishment Station;;;GPGPGPAL------X;pass
G*GPGPAK--;GPGPGPAK------X;25;181200;00;00;Airspace Control Points : Tanking;;;GPGPGPAK------X;pass
G*GPGPAK--;GPGPGPAK------X;25;181200;00;00;Airspace Control Points : Tanking;;;GPGPGPAK------X;pass
G*GPGPAH--;GPGPGPAH------X;25;181300;00;00;Airspace Control Points : Antisubmarine Warfare- Rotary Wing;;;GPGPGPAH------X;pass
G*GPGPAH--;GPGPGPAH------X;25;181300;00;00;Airspace Control Points : Antisubmarine Warfare- Rotary Wing;;;GPGPGPAH------X;pass
G*GPGPAB--;GPGPGPAB------X;25;181400;00;00;Airspace Control Points : SUCAP - Fixed Wing;;;GPGPGPAB------X;pass
G*GPGPAC--;GPGPGPAC------X;98;100000;00;00;;;;;Retired
G*GPGPAD--;GPGPGPAD------X;25;181600;00;00;Airspace Control Points : MIW - Fixed Wing;;;GPGPGPAD------X;pass
G*GPGPAE--;GPGPGPAE------X;25;181700;00;00;Airspace Control Points : MIW - Rotary Wing;;;GPGPGPAE------X;pass
G*GPGPAO--;GPGPGPAO------X;25;181800;00;00;Airspace Control Points : Tomcat;;;GPGPGPAO------X;pass
G*GPGPAO--;GPGPGPAO------X;25;181800;00;00;Airspace Control Points : Tomcat;;;GPGPGPAO------X;pass
G*GPGPAR--;GPGPGPAR------X;25;181900;00;00;Airspace Control Points : Rescue;;;GPGPGPAR------X;pass
G*GPGPAR--;GPGPGPAR------X;25;181900;00;00;Airspace Control Points : Rescue;;;GPGPGPAR------X;pass
G*GPGPAF--;GPGPGPAF------X;25;182000;00;00;Airspace Control Points : Unmanned Aerial System (UAS/UA);;;GPGPGPAF------X;pass
G*GPGPAG--;GPGPGPAG------X;25;182100;00;00;Airspace Control Points : VTUA;;;GPGPGPAG------X;pass
G*GPGPAI--;GPGPGPAI------X;25;182200;00;00;Airspace Control Points : Orbit;;;GPGPGPAI------X;pass
G*GPGPAJ--;GPGPGPAJ------X;25;182300;00;00;Airspace Control Points : Orbit - Figure Eight;;;GPGPGPAJ------X;pass
G*GPGPAM--;GPGPGPAM------X;98;100000;00;00;;;;;Retired
G*GPGPAN--;GPGPGPAN------X;25;182500;00;00;Airspace Control Points : Orbit - Random Closed;;;GPGPGPAN------X;pass
G*GPGPWA--;GPGPGPWA------X;25;210200;00;00;Maritime Points : Aim Point;;;GPGPGPWA------X;pass
G*GPGPWD--;GPGPGPWD------X;25;210400;00;00;Maritime Points : Drop Point;;;GPGPGPWD------X;pass
G*GPGPWE--;GPGPGPWE------X;25;210500;00;00;Maritime Points : Entry Point;;;GPGPGPWE------X;pass
G*GPGPWG--;GPGPGPWG------X;25;210700;00;00;Maritime Points : Ground Zero;;;GPGPGPWG------X;pass
G*GPGPWI--;GPGPGPWI------X;25;210800;00;00;Maritime Points : Impact Point;;;GPGPGPWI------X;pass
G*GPGPWP--;GPGPGPWP------X;25;210900;00;00;Maritime Points : Predicted Impact Point;;;GPGPGPWP------X;pass
G*GPGPWM--;GPGPGPWM------X;25;211100;00;00;Maritime Points : Missile Detection Point;;;GPGPGPWM------X;pass
G*GPGPUUB-;GPGPGPUUB-----X;25;211400;00;00;Maritime Points : Brief Contact;;;GPGPGPUUB-----X;pass
G*GPGPUUD-;GPGPGPUUD-----X;25;211500;00;00;Maritime Points : Datum Lost Contact;;;GPGPGPUUD-----X;pass
G*GPGPUUL-;GPGPGPUUL-----X;25;212000;00;00;Maritime Points : Lost Contact;;;GPGPGPUUL-----X;pass
G*GPGPUUS-;GPGPGPUUS-----X;25;212100;00;00;Maritime Points : Sinker;;;GPGPGPUUS-----X;pass
G*OPFA----;GPOPFA--------X;25;212300;00;00;Maritime Points : Acoustic Fix;;;GPOPFA--------X;pass
G*OPFE----;GPOPFE--------X;25;212400;00;00;Maritime Points : Electromagnetic Fix;;;GPOPFE--------X;pass
G*OPFO----;GPOPFO--------X;25;212600;00;00;Maritime Points : Optical Fix;;;GPOPFO--------X;pass
G*GPGPF---;GPGPGPF-------X;25;212700;00;00;Maritime Points : Formation;;;GPGPGPF-------X;pass
G*GPGPH---;GPGPGPH-------X;25;212800;00;00;Maritime Points : Harbor;;;GPGPGPH-------X;pass
G*GPGPHA--;GPGPGPHA------X;25;212901;00;00;Maritime Points : Harbor Entrance Point : A;;;GPGPGPHA------X;pass
G*GPGPHQ--;GPGPGPHQ------X;25;212902;00;00;Maritime Points : Harbor Entrance Point : Q;;;GPGPGPHQ------X;pass
G*GPGPHX--;GPGPGPHX------X;25;212903;00;00;Maritime Points : Harbor Entrance Point : X;;;GPGPGPHX------X;pass
G*GPGPHY--;GPGPGPHY------X;25;212904;00;00;Maritime Points : Harbor Entrance Point : Y;;;GPGPGPHY------X;pass
G*GPGPUSD-;GPGPGPUSD-----X;25;213000;00;00;Maritime Points : Dip Position;;;GPGPGPUSD-----X;pass
G*GPGPUS--;GPGPGPUS------X;25;213100;00;00;Maritime Points : Search;;;GPGPGPUS------X;pass
G*GPGPUSA-;GPGPGPUSA-----X;25;213200;00;00;Maritime Points : Search Area;;;GPGPGPUSA-----X;pass
G*GPGPUSC-;GPGPGPUSC-----X;25;213300;00;00;Maritime Points : Search Center;;;GPGPGPUSC-----X;pass
G*GPGPUY--;GPGPGPUY------X;25;213500;00;00;Maritime Points : Sonobuoy;;;GPGPGPUY------X;pass
G*GPGPUYA-;GPGPGPUYA-----X;25;213501;00;00;Maritime Points : Sonobuoy : Ambient Noise;;;GPGPGPUYA-----X;pass
G*GPGPUYT-;GPGPGPUYT-----X;25;213502;00;00;Maritime Points : Sonobuoy : Air Transportable Communication;;;GPGPGPUYT-----X;pass
G*GPGPUYB-;GPGPGPUYB-----X;25;213504;00;00;Maritime Points : Sonobuoy : Bathythermograph Transmitting;;;GPGPGPUYB-----X;pass
G*GPGPUYC-;GPGPGPUYC-----X;25;213506;00;00;Maritime Points : Sonobuoy : Command Active Sonobuoy Directional Command Active Sonobuoy System (CASS);;;GPGPGPUYC-----X;pass
G*GPGPUYD-;GPGPGPUYD-----X;25;213507;00;00;Maritime Points : Sonobuoy : Digital Frequency Analysis and Recording (DIFAR);;;GPGPGPUYD-----X;pass
G*GPGPUYS-;GPGPGPUYS-----X;25;213508;00;00;Maritime Points : Sonobuoy : Directional Command Active Sonobuoy System (DICASS);;;GPGPGPUYS-----X;pass
G*GPGPUYX-;GPGPGPUYX-----X;25;213510;00;00;Maritime Points : Sonobuoy : Expired;;;GPGPGPUYX-----X;pass
G*GPGPUYK-;GPGPGPUYK-----X;25;213511;00;00;Maritime Points : Sonobuoy : Kingpin;;;GPGPGPUYK-----X;pass
G*GPGPUYL-;GPGPGPUYL-----X;25;213512;00;00;Maritime Points : Sonobuoy : Low Frequency Analysis and Recording (LOFAR);;;GPGPGPUYL-----X;pass
G*GPGPUYP-;GPGPGPUYP-----X;25;213513;00;00;Maritime Points : Sonobuoy : Pattern Center;;;GPGPGPUYP-----X;pass
G*GPGPUYR-;GPGPGPUYR-----X;25;213514;00;00;Maritime Points : Sonobuoy : Range Only;;;GPGPGPUYR-----X;pass
G*GPGPUYV-;GPGPGPUYV-----X;25;213515;00;00;Maritime Points : Sonobuoy : Vertical Line Array Directional Frequency Analysis and Recording (DIFAR);;;GPGPGPUYV-----X;pass
G*GPGPR---;GPGPGPR-------X;25;213600;00;00;Maritime Points : Reference Point;;;GPGPGPR-------X;pass
G*GPGPRS--;GPGPGPRS------X;25;213700;00;00;Maritime Points : Special Point;;;GPGPGPRS------X;pass
G*GPGPRN--;GPGPGPRN------X;25;213800;00;00;Maritime Points : Navigational Reference Point;;;GPGPGPRN------X;pass
G*GPGPRD--;GPGPGPRD------X;25;213900;00;00;Maritime Points : Data Link Reference Point;;;GPGPGPRD------X;pass
G*GPGPRC--;GPGPGPRC------X;25;214200;00;00;Maritime Points : Corridor Tab Point;;;GPGPGPRC------X;pass
G*GPGPRM--;GPGPGPRM------X;25;214400;00;00;Maritime Points : Marshall Point;;;GPGPGPRM------X;pass
G*GPGPRP--;GPGPGPRP------X;25;214500;00;00;Maritime Points : Position and Intended Movement (PIM);;;GPGPGPRP------X;pass
G*GPGPRW--;GPGPGPRW------X;25;214800;00;00;Maritime Points : Waypoint;;;GPGPGPRW------X;pass
G*GPGPB---;GPGPGPB-------X;25;214900;00;00;Maritime Points : General Subsurface Station;;;GPGPGPB-------X;pass
G*GPGPBS--;GPGPGPBS------X;25;215000;00;00;Maritime Points : Submarine Subsurface Station;;;GPGPGPBS------X;pass
G*GPGPBSA-;GPGPGPBSA-----X;25;215100;00;00;Maritime Points : Submarine Antisubmarine Warfare Subsurface Station;;;GPGPGPBSA-----X;pass
G*GPGPBU--;GPGPGPBU------X;25;215200;00;00;Maritime Points : Unmanned Underwater Vehicle Subsurface Station;;;GPGPGPBU------X;pass
G*GPGPBUA-;GPGPGPBUA-----X;25;215300;00;00;Maritime Points : Antisubmarine Warfare (ASW) Unmanned Underwater Vehicle Subsurface Station;;;GPGPGPBUA-----X;pass
G*GPGPBUM-;GPGPGPBUM-----X;25;215400;00;00;Maritime Points : Mine Warfare Unmanned Underwater Vehicle Subsurface Station;;;GPGPGPBUM-----X;pass
G*GPGPBUS-;GPGPGPBUS-----X;25;215500;00;00;Maritime Points : Surface Warfare Unmanned Underwater Vehicle Subsurface Station;;;GPGPGPBUS-----X;pass
G*GPGPC---;GPGPGPC-------X;25;215600;00;00;Maritime Points : General Surface Station;;;GPGPGPC-------X;pass
G*GPGPCA--;GPGPGPCA------X;25;215700;00;00;Maritime Points : Antisubmarine Warfare (ASW) Surface Station;;;GPGPGPCA------X;pass
G*GPGPCM--;GPGPGPCM------X;25;215800;00;00;Maritime Points : Mine Warfare Surface Station;;;GPGPGPCM------X;pass
G*GPGPCN--;GPGPGPCN------X;25;215900;00;00;Maritime Points : Non-Combatant Surface Station;;;GPGPGPCN------X;pass
G*GPGPCP--;GPGPGPCP------X;25;216000;00;00;Maritime Points : Picket Surface Station;;;GPGPGPCP------X;pass
G*GPGPCR--;GPGPGPCR------X;25;216100;00;00;Maritime Points : Rendezvous Surface Station;;;GPGPGPCR------X;pass
G*GPGPCE--;GPGPGPCE------X;25;216200;00;00;Maritime Points : Replenishment at Sea Surface Station;;;GPGPGPCE------X;pass
G*GPGPCC--;GPGPGPCC------X;25;216300;00;00;Maritime Points : Rescue Surface Station;;;GPGPGPCC------X;pass
G*GPGPCS--;GPGPGPCS------X;25;216400;00;00;Maritime Points : Surface Warfare Surface Station;;;GPGPGPCS------X;pass
G*GPGPCU--;GPGPGPCU------X;25;216500;00;00;Maritime Points : Unmanned Underwater Vehicle Surface Station;;;GPGPGPCU------X;pass
G*GPGPCUA-;GPGPGPCUA-----X;25;216600;00;00;Maritime Points : Antisubmarine Warfare (ASW) Unmanned Underwater Vehicle Surface Station;;;GPGPGPCUA-----X;pass
G*GPGPCUM-;GPGPGPCUM-----X;25;216700;00;00;Maritime Points : Mine Warfare Unmanned Underwater Vehicle Surface Station;;;GPGPGPCUM-----X;pass
G*GPGPCUR-;GPGPGPCUR-----X;25;216800;00;00;Maritime Points : Remote Multi-Mission Vehicle Mine Warfare Unmanned Underwater;;;GPGPGPCUR-----X;pass
G*GPGPCUS-;GPGPGPCUS-----X;25;216900;00;00;Maritime Points : Surface Warfare Mine Warfare Unmanned Underwater Vehicle;;;GPGPGPCUS-----X;pass
G*GPGPO---;GPGPGPO-------X;25;217100;00;00;Maritime Points : General Route;;;GPGPGPO-------X;pass
G*GPGPOD--;GPGPGPOD------X;25;217200;00;00;Maritime Points : Diversion Route;;;GPGPGPOD------X;pass
G*GPGPOP--;GPGPGPOP------X;25;217300;00;00;Maritime Points : Position and Intended Movement (PIM) Route;;;GPGPGPOP------X;pass
G*GPGPOR--;GPGPGPOR------X;25;217300;00;00;Maritime Points : Position and Intended Movement (PIM) Route;;;GPGPGPOP------X;FAIL
G*GPGPOZ--;GPGPGPOZ------X;25;217600;00;00;Maritime Points : Rendezvous Route;;;GPGPGPOZ------X;pass
G*GPGPOW--;GPGPGPOW------X;25;217700;00;00;Maritime Points : Waypoint Route;;;GPGPGPOW------X;pass
G*OPEV----;GPOPEV--------X;25;218000;00;00;Maritime Points : Distressed Vessel;;;GPOPEV--------X;pass
G*OPED----;GPOPED--------X;25;218100;00;00;Maritime Points : Ditched Aircraft/Downed Aircraft;;;GPOPED--------X;pass
G*OPEP----;GPOPEP--------X;25;218200;00;00;Maritime Points : Person in Water/Bailout;;;GPOPEP--------X;pass
G*OPHI----;GPOPHI--------X;25;218300;00;00;Maritime Points : Iceberg;;;GPOPHI--------X;pass
G*OPHN----;GPOPHN--------X;25;218400;00;00;Maritime Points : Navigational;;;GPOPHN--------X;pass
G*OPHO----;GPOPHO--------X;25;218500;00;00;Maritime Points : Oil Rig;;;GPOPHO--------X;pass
G*OPHM----;GPOPHM--------X;25;218600;00;00;Maritime Points : Sea Mine-Like;;;GPOPHM--------X;pass
G*OPSBN---;GPOPSBN-------X;25;218700;00;00;Maritime Points : Bottom Return/Non-Mine Like Bottom Object (NOMBO);;;GPOPSBN-------X;pass
G*OPSB----;GPOPSB--------X;25;218700;00;00;Maritime Points : Bottom Return/Non-Mine Like Bottom Object (NOMBO);;;GPOPSBN-------X;pass (multiple)
G*OPSBM---;GPOPSBM-------X;25;218800;00;00;Maritime Points : Bottom Return/Non-Mine Like Bottom Object (NOMBO)/Installation Manmade;;;GPOPSBM-------X;pass
G*OPSM----;GPOPSM--------X;25;218900;00;00;Maritime Points : Marine Life;;;GPOPSM--------X;pass
G*OPSS----;GPOPSS--------X;25;219000;00;00;Maritime Points : Sea Anomaly (Wake-Current-Knuckle);;;GPOPSS--------X;pass
G*OPSBX---;GPOPSBX-------X;25;219100;00;00;Maritime Points : Bottom Return/Non-MILCO-Wreck-Dangerous;;;GPOPSBX-------X;pass
G*OPSBWD--;GPOPSBWD------X;25;219100;00;00;Maritime Points : Bottom Return/Non-MILCO-Wreck-Dangerous;;;GPOPSBX-------X;pass (multiple)
G*OPSBW---;GPOPSBW-------X;25;219200;00;00;Maritime Points : Bottom Return/Non-MILCO-Wreck-Non Dangerous;;;GPOPSBW-------X;pass
G*OPB-----;GPOPB---------X;25;220100;00;00;Maritime Lines : Bearing Line;;;GPOPB---------X;pass
G*OPBE----;GPOPBE--------X;25;220101;00;00;Maritime Lines : Bearing Line : Electronic;;;GPOPBE--------X;pass
G*OPBA----;GPOPBA--------X;25;220103;00;00;Maritime Lines : Bearing Line : Acoustic;;;GPOPBA--------X;pass
G*OPBT----;GPOPBT--------X;25;220105;00;00;Maritime Lines : Bearing Line : Torpedo;;;GPOPBT--------X;pass
G*OPBO----;GPOPBO--------X;25;220106;00;00;Maritime Lines : Bearing Line : Electro-Optical Intercept;;;GPOPBO--------X;pass
G*GPPD----;GPGPPD--------X;25;230100;00;00;Deception : Decoy/Dummy;;;GPGPPD--------X;pass
G*FPACAI--;GPFPACAI------X;25;240101;00;00;Fires Areas : Airspace Coordination Area : Irregular;;;GPFPACAI------X;pass
G*FPACAR--;GPFPACAR------X;25;240102;00;00;Fires Areas : Airspace Coordination Area : Rectangular;;;GPFPACAR------X;pass
G*FPACAC--;GPFPACAC------X;25;240103;00;00;Fires Areas : Airspace Coordination Area : Circular;;;GPFPACAC------X;pass
G*FPACFI--;GPFPACFI------X;25;240201;00;00;Fires Areas : Free Fire Area : Irregular;;;GPFPACFI------X;pass
G*FPACFR--;GPFPACFR------X;25;240202;00;00;Fires Areas : Free Fire Area : Rectangular;;;GPFPACFR------X;pass
G*FPACFC--;GPFPACFC------X;25;240203;00;00;Fires Areas : Free Fire Area : Circular;;;GPFPACFC------X;pass
G*FPACNI--;GPFPACNI------X;25;240301;00;00;Fires Areas : No Fire Area : Irregular;;;GPFPACNI------X;pass
G*FPACNR--;GPFPACNR------X;25;240302;00;00;Fires Areas : No Fire Area : Rectangular;;;GPFPACNR------X;pass
G*FPACNC--;GPFPACNC------X;25;240303;00;00;Fires Areas : No Fire Area : Circular;;;GPFPACNC------X;pass
G*FPACRI--;GPFPACRI------X;25;240401;00;00;Fires Areas : Restricted Fire Area : Irregular;;;GPFPACRI------X;pass
G*FPACRR--;GPFPACRR------X;25;240402;00;00;Fires Areas : Restricted Fire Area : Rectangular;;;GPFPACRR------X;pass
G*FPACRC--;GPFPACRC------X;25;240403;00;00;Fires Areas : Restricted Fire Area : Circular;;;GPFPACRC------X;pass
G*FPACPR--;GPFPACPR------X;25;240501;00;00;Fires Areas : Position Area For Artillery (PAA) : Rectangular;;;GPFPACPR------X;pass
G*FPACPC--;GPFPACPC------X;25;240502;00;00;Fires Areas : Position Area For Artillery (PAA) : Circular;;;GPFPACPC------X;pass
G*FPPTS---;GPFPPTS-------X;25;240601;00;00;Fires Areas : Point Targets : Point or Single Target;;;GPFPPTS-------X;pass
G*FPPTN---;GPFPPTN-------X;25;240602;00;00;Fires Areas : Point Targets : Nuclear Target;;;GPFPPTN-------X;pass
G*FPLT----;GPFPLT--------X;25;240701;00;00;Fires Areas : Linear Targets : Linear Target;;;GPFPLT--------X;pass
G*FPLTS---;GPFPLTS-------X;25;240702;00;00;Fires Areas : Linear Targets : Linear Smoke Target;;;GPFPLTS-------X;pass
G*FPLTF---;GPFPLTF-------X;25;240703;00;00;Fires Areas : Linear Targets : Final Protective Fire (FPF);;;GPFPLTF-------X;pass
G*FPAT----;GPFPAT--------X;25;240801;00;00;Fires Areas : Area Targets : Area Target;;;GPFPAT--------X;pass
G*FPATR---;GPFPATR-------X;25;240802;00;00;Fires Areas : Area Targets : Rectangular Target;;;GPFPATR-------X;pass
G*FPATC---;GPFPATC-------X;25;240803;00;00;Fires Areas : Area Targets : Circular Target;;;GPFPATC-------X;pass
G*FPATG---;GPFPATG-------X;25;240805;00;00;Fires Areas : Area Targets : Series of Targets;;;GPFPATG-------X;pass
G*FPATS---;GPFPATS-------X;25;240806;00;00;Fires Areas : Area Targets : Smoke Target;;;GPFPATS-------X;pass
G*FPATB---;GPFPATB-------X;25;240808;00;00;Fires Areas : Area Targets : Bomb Area;;;GPFPATB-------X;pass
G*FPPCF---;GPFPPCF-------X;25;240900;00;00;Fires Areas : Fire Support Station;;;GPFPPCF-------X;pass
G*FPACSI--;GPFPACSI------X;25;241001;00;00;Fires Areas : Fire Support Area : Irregular;;;GPFPACSI------X;pass
G*FPACSR--;GPFPACSR------X;25;241002;00;00;Fires Areas : Fire Support Area : Rectangular;;;GPFPACSR------X;pass
G*FPACSC--;GPFPACSC------X;25;241003;00;00;Fires Areas : Fire Support Area : Circular;;;GPFPACSC------X;pass
G*FPAZII--;GPFPAZII------X;25;241101;00;00;Fires Areas : Artillery Target Intelligence Zone : Irregular;;;GPFPAZII------X;pass
G*FPAZIR--;GPFPAZIR------X;25;241102;00;00;Fires Areas : Artillery Target Intelligence Zone : Rectangular;;;GPFPAZIR------X;pass
G*FPAZIC--;GPFPAZIC------X;25;241103;00;00;Fires Areas : Artillery Target Intelligence Zone : Circular;;;GPFPAZIC------X;pass
G*FPAZXI--;GPFPAZXI------X;25;241201;00;00;Fires Areas : Call for Fire Zone (CFFZ) : Irregular;;;GPFPAZXI------X;pass
G*FPAZXR--;GPFPAZXR------X;25;241202;00;00;Fires Areas : Call for Fire Zone (CFFZ) : Rectangular;;;GPFPAZXR------X;pass
G*FPAZXC--;GPFPAZXC------X;25;241203;00;00;Fires Areas : Call for Fire Zone (CFFZ) : Circular;;;GPFPAZXC------X;pass
G*FPAZSI--;GPFPAZSI------X;25;241601;00;00;Fires Areas : Sensor Zone : Irregular;;;GPFPAZSI------X;pass
G*FPAZSR--;GPFPAZSR------X;25;241602;00;00;Fires Areas : Sensor Zone : Rectangular;;;GPFPAZSR------X;pass
G*FPAZSC--;GPFPAZSC------X;25;241603;00;00;Fires Areas : Sensor Zone : Circular;;;GPFPAZSC------X;pass
G*FPAZCI--;GPFPAZCI------X;25;241301;00;00;Fires Areas : Censor Zone : Irregular;;;GPFPAZCI------X;pass
G*FPAZCR--;GPFPAZCR------X;25;241302;00;00;Fires Areas : Censor Zone : Rectangular;;;GPFPAZCR------X;pass
G*FPAZCC--;GPFPAZCC------X;25;241303;00;00;Fires Areas : Censor Zone : Circular;;;GPFPAZCC------X;pass
G*FPAZFI--;GPFPAZFI------X;25;241401;00;00;Fires Areas : Critical Friendly Zone : Irregular;;;GPFPAZFI------X;pass
G*FPAZFR--;GPFPAZFR------X;25;241402;00;00;Fires Areas : Critical Friendly Zone : Rectangular;;;GPFPAZFR------X;pass
G*FPAZFC--;GPFPAZFC------X;25;241403;00;00;Fires Areas : Critical Friendly Zone : Circular;;;GPFPAZFC------X;pass
G*FPACDI--;GPFPACDI------X;25;241501;00;00;Fires Areas : Dead Space Area : Irregular;;;GPFPACDI------X;pass
E*OPDDA---;E*OPDDA--------;10;200100;00;00;Law Enforcement (Land Units) : ATF DOJ;;;;
E*OPDGA---;E*OPDGA--------;10;200400;00;00;Law Enforcement (Land Units) : DEA;;;;
E*OPDHA---;E*OPDHA--------;10;200500;00;00;Law Enforcement (Land Units) : DOJ;;;;
E*OPDIA---;E*OPDIA--------;10;200600;00;00;Law Enforcement (Land Units) : FBI;;;;
E*OPDLA---;E*OPDLA--------;10;200900;00;00;Law Enforcement (Land Units) : US Secret Service (USSS);;;;
E*OPDMA---;E*OPDMA--------;10;201000;00;00;Law Enforcement (Land Units) : TSA;;;;
E*OPDOA---;E*OPDOA--------;10;201200;00;00;Law Enforcement (Land Units) : US Marshals Service;;;;
E*OPDHB---;E*OPDHB--------;15;170500;00;00;Law Enforcement (Land Equipment) : DOJ;;;;
E*OPDIB---;E*OPDIB--------;15;170600;00;00;Law Enforcement (Land Equipment) : FBI;;;;
E*OPDJB---;E*OPDJB--------;15;170700;00;00;Law Enforcement (Land Equipment) : Police;;;;
E*OPDLB---;E*OPDLB--------;15;170800;00;00;Law Enforcement (Land Equipment) : US Secret Service (USSS);;;;
E*OPDMB---;E*OPDMB--------;15;170900;00;00;Law Enforcement (Land Equipment) : TSA;;;;
E*OPDOB---;E*OPDOB--------;15;171100;00;00;Law Enforcement (Land Equipment) : US Marshals Service;;;;
E*OPDGC---;E*OPDGC--------;20;112104;00;00;Installation : Law Enforcement : Drug Enforcement Administration (DEA);;;;
E*OPDHC---;E*OPDHC--------;20;112105;00;00;Installation : Law Enforcement : Department of Justice (DOJ);;;;
E*OPDIC---;E*OPDIC--------;20;112106;00;00;Installation : Law Enforcement : Federal Bureau of Investigation (FBI);;;;
E*OPDLC---;E*OPDLC--------;20;112109;00;00;Installation : Law Enforcement : United States Secret Service (USSS);;;;
E*OPDMC---;E*OPDMC--------;20;112110;00;00;Installation : Law Enforcement : Transportation Security Administration (TSA);;;;
G*FPAZDI--;G*FPAZDI-------;25;241501;00;00;Fires Areas : Dead Space Area : Irregular;;;;
G*FPACDR--;G*FPACDR-------;25;241502;00;00;Fires Areas : Dead Space Area : Rectangular;;;;
G*FPAZDR--;G*FPAZDR-------;25;241502;00;00;Fires Areas : Dead Space Area : Rectangular;;;;
G*FPACDC--;G*FPACDC-------;25;241503;00;00;Fires Areas : Dead Space Area : Circular;;;;
G*FPAZDC--;G*FPAZDC-------;25;241503;00;00;Fires Areas : Dead Space Area : Circular;;;;
G*FPACEI--;G*FPACEI-------;25;241601;00;00;Fires Areas : Sensor Zone : Irregular;;;;
G*FPACER--;G*FPACER-------;25;241602;00;00;Fires Areas : Sensor Zone : Rectangular;;;;
G*FPACEC--;G*FPACEC-------;25;241603;00;00;Fires Areas : Sensor Zone : Circular;;;;
G*FPACBI--;G*FPACBI-------;25;241701;00;00;Fires Areas : Target Build-up Area : Irregular;;;;
G*FPAZBI--;G*FPAZBI-------;25;241701;00;00;Fires Areas : Target Build-up Area : Irregular;;;;
G*FPACBR--;G*FPACBR-------;25;241702;00;00;Fires Areas : Target Build-up Area : Rectangular;;;;
G*FPAZBR--;G*FPAZBR-------;25;241702;00;00;Fires Areas : Target Build-up Area : Rectangular;;;;
G*FPACBC--;G*FPACBC-------;25;241703;00;00;Fires Areas : Target Build-up Area : Circular;;;;
G*FPAZBC--;G*FPAZBC-------;25;241703;00;00;Fires Areas : Target Build-up Area : Circular;;;;
G*FPACVI--;G*FPACVI-------;25;241801;00;00;Fires Areas : Target Value Area : Irregular;;;;
G*FPAZVI--;G*FPAZVI-------;25;241801;00;00;Fires Areas : Target Value Area : Irregular;;;;
G*FPACVR--;G*FPACVR-------;25;241802;00;00;Fires Areas : Target Value Area : Rectangular;;;;
G*FPAZVR--;G*FPAZVR-------;25;241802;00;00;Fires Areas : Target Value Area : Rectangular;;;;
G*FPACVC--;G*FPACVC-------;25;241803;00;00;Fires Areas : Target Value Area : Circular;;;;
G*FPAZVC--;G*FPAZVC-------;25;241803;00;00;Fires Areas : Target Value Area : Circular;;;;
G*FPACZI--;G*FPACZI-------;25;241901;00;00;Fires Areas : Zone of Responsibility : Irregular;;;;
G*FPAZZI--;G*FPAZZI-------;25;241901;00;00;Fires Areas : Zone of Responsibility : Irregular;;;;
G*FPACZR--;G*FPACZR-------;25;241902;00;00;Fires Areas : Zone of Responsibility : Rectangular;;;;
G*FPAZZR--;G*FPAZZR-------;25;241902;00;00;Fires Areas : Zone of Responsibility : Rectangular;;;;
G*FPACZC--;G*FPACZC-------;25;241903;00;00;Fires Areas : Zone of Responsibility : Circular;;;;
G*FPAZZC--;G*FPAZZC-------;25;241903;00;00;Fires Areas : Zone of Responsibility : Circular;;;;
G*FPACT---;G*FPACT--------;25;242000;00;00;Fires Areas : Terminally Guided Munition Footprint (TGMF);;;;
G*FPAXC---;G*FPAXC--------;25;242100;00;00;Fires Areas : Weapon/Sensor Range fan-Circular;;;;
G*FPAXS---;G*FPAXS--------;25;242200;00;00;Fires Areas : Weapon/Sensor Range fan-Sector;;;;
G*FPAKBI--;G*FPAKBI-------;25;242301;00;00;Fires Areas : Kill Box : Irregular-Blue;;;;
G*FPAKBR--;G*FPAKBR-------;25;242302;00;00;Fires Areas : Kill Box : Rectangular-Blue;;;;
G*FPAKBC--;G*FPAKBC-------;25;242303;00;00;Fires Areas : Kill Box : Circular-Blue;;;;
G*FPAKPI--;G*FPAKPI-------;25;242304;00;00;Fires Areas : Kill Box : Irregular-Purple;;;;
G*FPAKPR--;G*FPAKPR-------;25;242305;00;00;Fires Areas : Kill Box : Rectangular-Purple;;;;
G*FPAKPC--;G*FPAKPC-------;25;242306;00;00;Fires Areas : Kill Box : Circular-Purple;;;;
G*FPPCB---;G*FPPCB--------;25;250100;00;00;Fires Points : Firing Point;;;;
G*FPPCH---;G*FPPCH--------;25;250200;00;00;Fires Points : Hide Point;;;;
